"Product Name","Collection Name","Serial No","Fabric Type","Stock","PO Pending Qty"
"ATHENA-474172-630-XL-RG2504059","SOLACE","5594","-","1","0"
"CHARM-473208-AK501-DOUBLE XL(240X330CMS)-RG2504340","RUGS 2022","2629","-","1","0"
"CLEO-410257-700-DOUBLE XL(240X330CMS)-RG2504486","RUGS 2024","4131","-","1","0"
"EVA-3286C00-CC-BRICH-TAUPE-S-RG2504793","RUGS 2024","4392","-","1","0"
"RUVO-53006-D1J W-XL-RG2505702","SOLACE","5439","-","1","0"
"SAMPLE.MINERAL-80080-YT5 B-L-RG2706166","RUGS SAMPLE","57","-","1","0"
"HIGHFIELD-1330-OV1-B-SMALL(80X150CMS)-RG2505121","RUGS 2021","1377","-","1","300"
"OMEGA-71001-OJ8 B-MEDIUM(120X180CMS)-RG2705366","RUGS 2024","4373","-","1","0"
"COMFORTER CSQ06-RUSKIN-PUMICE STONE SING-MU1301494","SIMPLY ORGANIC","24","-","1","4"
"SAMPLE.CUBIS-27002-GB4 W-L-RG2706112","RUGS SAMPLE","3","-","1","0"
"SAMPLE.OMEGA-85111-YR9 H-L-RG2706214","RUGS SAMPLE","105","-","1","0"
"DUVET COVER SET P0035-SCROLLIS-SKY DOUBL-MU1300491","ORIGINS","243","-","1","4"
"SERRA-75000-E8H G-M-RG2705266","SOLACE","5477","-","1","0"
"OPAL-71301-50A-LARGE(160X230CMS)-RG2705512","RUGS 2022","2812","-","1","0"
"OMEGA-912830-OJ8 X-XXL-RG2506634","RUGS 2024","4751","-","1","0"
"ROSSINI-1521-BO1-Z-LARGE(160X230CMS)-RG2705061","RUGS 2021","1504","-","1","300"
"LINLEY-55001-B8E A-L-RG2705843","RUGS 2024","4894","-","1","0"
"SAPPHIRE-71351-100-SMALL(80X150CMS)-RG2505751","RUGS 2022","2680","-","1","300"
"CHARM-473216-AK992-LARGE(160X230CMS)-RG2704035","RUGS 2022","2632","-","1","0"
"CLEO-410071-700-XL-RG2504448","RUGS 2022","2559","-","1","0"
